envo_id,label,exact_synonyms,broad_synonyms,narrow_synonyms,related_synonyms
ENVO_01001583,Afrotropical Ecoregion,,,,
ENVO_01001605,Aldabra Island Xeric Scrub Ecoregion,,,,
ENVO_01001571,Australasia Ecoregion,,,,
ENVO_01001385,Bathymodiolus-dominated oceanic mussel reef,,,,
ENVO_01001180,Bondon cheese environment,,,,
ENVO_01001452,Calyptra habitat,vampire moth habitat,,,
ENVO_01001575,Carnarvon Xeric Shrublands Ecoregion,,Western coast of Australia Ecoregion,,
ENVO_01001576,Central Ranges Xeric Shrub Ecoregion,,Central Australia Ecoregion,,
ENVO_01001603,East Saharan Montane Xeric Woodland Ecoregion,North central Africa: Eastern Chad and small area of western Sudan,,,
ENVO_01001602,Eritrean Coastal Desert Ecoregion,,,,
ENVO_01001601,Ethiopian Xeric Grasslands and Shrublands Ecoregion,,,,
ENVO_01001577,Gibson Desert Ecoregion,,Western central Australia,,
ENVO_01001579,Great Victoria Desert Ecoregion,,Southern Australia Ecoregion,,
ENVO_01001599,Hobyo Grassland and Shrubland Ecoregion,,Eastern Africa: Somalia,,
ENVO_01001166,IUCN habitat/species management area,,habitat management area,,species management area
ENVO_01001598,Ile Europa and Bassas da India Ecoregion,Southern Africa: Islands about half-way between southern Madagascar and southern Mozambique Ecoregion,,,
ENVO_01001626,Indo-Malay Ecoregion,,,,
ENVO_01001597,Kalahari Xeric Savanna Ecoregion,,,,
ENVO_01001596,Kaokoveld Desert Ecoregion,Africa: Coastal Namibia and Angola Ecoregion,,,
ENVO_01001595,Madagascar Spiny Thickets Ecoregion,Madagascar spiny desert ecoregion,,,
ENVO_01001594,Madagascar Succulent Woodlands Ecoregion,,,,
ENVO_01001593,Masai Xeric Grasslands and Shrublands Ecoregion,,,,
ENVO_01001592,Nama Karoo Ecoregion,,,,
ENVO_01001591,Namib Desert Ecoregion,,Africa: Namibia Ecoregion,,
ENVO_01001590,Namibian Savanna Woodland Ecoregion,,,,
ENVO_01001628,Northwestern Thorn Scrub Forests,,,,Southern Asia: Eastern India and western Pakistan
ENVO_01001580,Nullarbor Plains Xeric Shrubland Ecoregion,,Southern Australia Ecoregion,,
ENVO_01001600,Oman and United Arab Emirates Ecoregion,Arabian Peninsula: Oman and United Arab Emirates Ecoregion,,,
ENVO_01001604,"Oman, Yemen, and Saudi Arabia Ecoregion","Western Asia: Oman, Yemen, and Saudi Arabia Ecoregion",,,
ENVO_01001574,Pilbara Shrublands Ecoregion,,Western Australia Ecoregion,,
ENVO_01001589,Red Sea Coastal Desert Ecoregion,,,,
ENVO_01001573,Simpson Desert Region,,Eastern central Australia Ecoregion,,
